i=0 t=0.07 pos=0.0 behindPre=0.000 behindPk=0.000 pk=None->None timerBefore=0.000 timerAfter=0.067 spd=3.000 exitPos=undefined exitDist=0.00
i=1 t=0.13 pos=0.2 behindPre=0.000 behindPk=0.272 pk=None->PaceDown timerBefore=0.067 timerAfter=0.133 spd=4.614 exitPos=75 exitDist=5.31
i=2 t=0.20 pos=0.6 behindPre=0.113 behindPk=0.529 pk=PaceDown->PaceDown timerBefore=0.133 timerAfter=0.200 spd=6.228 exitPos=75 exitDist=5.31
i=3 t=0.27 pos=1.1 behindPre=0.113 behindPk=0.636 pk=PaceDown->PaceDown timerBefore=0.200 timerAfter=0.267 spd=7.842 exitPos=75 exitDist=5.31
i=4 t=0.33 pos=1.7 behindPre=0.113 behindPk=0.744 pk=PaceDown->PaceDown timerBefore=0.267 timerAfter=0.333 spd=9.456 exitPos=75 exitDist=5.31
i=60 t=4.07 pos=67.1 behindPre=0.319 behindPk=1.536 pk=PaceDown->PaceDown timerBefore=4.000 timerAfter=4.067 spd=17.966 exitPos=75 exitDist=5.31
i=61 t=4.13 pos=68.3 behindPre=0.338 behindPk=1.557 pk=PaceDown->PaceDown timerBefore=4.067 timerAfter=4.133 spd=17.966 exitPos=75 exitDist=5.31
i=62 t=4.20 pos=69.5 behindPre=0.359 behindPk=1.579 pk=PaceDown->PaceDown timerBefore=4.133 timerAfter=4.200 spd=17.966 exitPos=75 exitDist=5.31
i=63 t=4.27 pos=70.7 behindPre=0.381 behindPk=1.601 pk=PaceDown->PaceDown timerBefore=4.200 timerAfter=4.267 spd=17.966 exitPos=75 exitDist=5.31
i=64 t=4.33 pos=71.9 behindPre=0.403 behindPk=1.625 pk=PaceDown->PaceDown timerBefore=4.267 timerAfter=4.333 spd=17.966 exitPos=75 exitDist=5.31
i=65 t=4.40 pos=73.1 behindPre=0.427 behindPk=1.649 pk=PaceDown->PaceDown timerBefore=4.333 timerAfter=4.400 spd=17.966 exitPos=75 exitDist=5.31
i=66 t=4.47 pos=74.3 behindPre=0.451 behindPk=1.675 pk=PaceDown->PaceDown timerBefore=4.400 timerAfter=4.467 spd=17.966 exitPos=75 exitDist=5.31
i=67 t=4.53 pos=75.5 behindPre=0.477 behindPk=1.701 pk=PaceDown->PaceDown timerBefore=4.467 timerAfter=4.533 spd=17.966 exitPos=75 exitDist=5.31
i=68 t=4.60 pos=76.7 behindPre=0.503 behindPk=1.728 pk=PaceDown->None timerBefore=4.533 timerAfter=-3.000 spd=17.980 exitPos=75 exitDist=5.31
i=69 t=4.67 pos=77.9 behindPre=0.530 behindPk=1.756 pk=None->None timerBefore=-3.000 timerAfter=-2.933 spd=17.994 exitPos=75 exitDist=5.31
i=70 t=4.73 pos=79.1 behindPre=0.556 behindPk=1.783 pk=None->None timerBefore=-2.933 timerAfter=-2.867 spd=18.008 exitPos=75 exitDist=5.31
i=71 t=4.80 pos=80.3 behindPre=0.583 behindPk=1.810 pk=None->None timerBefore=-2.867 timerAfter=-2.800 spd=18.022 exitPos=75 exitDist=5.31
i=72 t=4.87 pos=81.5 behindPre=0.609 behindPk=1.838 pk=None->None timerBefore=-2.800 timerAfter=-2.733 spd=18.036 exitPos=75 exitDist=5.31
i=73 t=4.93 pos=82.7 behindPre=0.635 behindPk=1.865 pk=None->None timerBefore=-2.733 timerAfter=-2.667 spd=18.050 exitPos=75 exitDist=5.31
i=74 t=5.00 pos=83.9 behindPre=0.662 behindPk=1.893 pk=None->None timerBefore=-2.667 timerAfter=-2.600 spd=18.064 exitPos=75 exitDist=5.31
i=75 t=5.07 pos=85.1 behindPre=0.688 behindPk=1.920 pk=None->None timerBefore=-2.600 timerAfter=-2.533 spd=18.077 exitPos=75 exitDist=5.31
i=76 t=5.13 pos=86.3 behindPre=0.715 behindPk=1.948 pk=None->None timerBefore=-2.533 timerAfter=-2.467 spd=18.091 exitPos=75 exitDist=5.31
i=77 t=5.20 pos=87.6 behindPre=0.741 behindPk=1.975 pk=None->None timerBefore=-2.467 timerAfter=-2.400 spd=18.105 exitPos=75 exitDist=5.31
i=78 t=5.27 pos=88.8 behindPre=0.768 behindPk=2.002 pk=None->None timerBefore=-2.400 timerAfter=-2.333 spd=18.119 exitPos=75 exitDist=5.31
i=79 t=5.33 pos=90.0 behindPre=0.795 behindPk=2.030 pk=None->None timerBefore=-2.333 timerAfter=-2.267 spd=18.133 exitPos=75 exitDist=5.31
i=80 t=5.40 pos=91.2 behindPre=0.821 behindPk=2.057 pk=None->None timerBefore=-2.267 timerAfter=-2.200 spd=18.147 exitPos=75 exitDist=5.31
i=105 t=7.07 pos=121.7 behindPre=1.490 behindPk=2.749 pk=None->None timerBefore=-0.600 timerAfter=-0.533 spd=18.494 exitPos=75 exitDist=5.31
i=106 t=7.13 pos=123.0 behindPre=1.516 behindPk=2.777 pk=None->None timerBefore=-0.533 timerAfter=-0.467 spd=18.508 exitPos=75 exitDist=5.31
i=107 t=7.20 pos=124.2 behindPre=1.543 behindPk=2.805 pk=None->None timerBefore=-0.467 timerAfter=-0.400 spd=18.522 exitPos=75 exitDist=5.31
i=108 t=7.27 pos=125.4 behindPre=1.570 behindPk=2.833 pk=None->None timerBefore=-0.400 timerAfter=-0.333 spd=18.536 exitPos=75 exitDist=5.31
i=109 t=7.33 pos=126.7 behindPre=1.597 behindPk=2.861 pk=None->None timerBefore=-0.333 timerAfter=-0.267 spd=18.550 exitPos=75 exitDist=5.31
i=110 t=7.40 pos=127.9 behindPre=1.624 behindPk=2.889 pk=None->None timerBefore=-0.267 timerAfter=-0.200 spd=18.564 exitPos=75 exitDist=5.31
i=111 t=7.47 pos=129.1 behindPre=1.651 behindPk=2.917 pk=None->None timerBefore=-0.200 timerAfter=-0.133 spd=18.578 exitPos=75 exitDist=5.31
i=112 t=7.53 pos=130.4 behindPre=1.678 behindPk=2.945 pk=None->None timerBefore=-0.133 timerAfter=-0.067 spd=18.592 exitPos=75 exitDist=5.31
i=113 t=7.60 pos=131.6 behindPre=1.705 behindPk=2.973 pk=None->PaceDown timerBefore=-0.067 timerAfter=0.000 spd=18.558 exitPos=205.3831730164778 exitDist=5.62
i=114 t=7.67 pos=132.9 behindPre=1.736 behindPk=3.004 pk=PaceDown->PaceDown timerBefore=0.000 timerAfter=0.067 spd=18.525 exitPos=205.3831730164778 exitDist=5.62
i=115 t=7.73 pos=134.1 behindPre=1.769 behindPk=3.038 pk=PaceDown->PaceDown timerBefore=0.067 timerAfter=0.133 spd=18.492 exitPos=205.3831730164778 exitDist=5.62
i=116 t=7.80 pos=135.3 behindPre=1.805 behindPk=3.076 pk=PaceDown->PaceDown timerBefore=0.133 timerAfter=0.200 spd=18.458 exitPos=205.3831730164778 exitDist=5.62
