i=0 focus=0.0000 pacer=0.0000 fSpd=3.0000 pSpd=3.0000 behind=0.0000
i=1 focus=0.1589 pacer=0.2723 fSpd=4.6139 pSpd=4.6141 behind=0.1134
i=2 focus=0.5741 pacer=0.6875 fSpd=6.2278 pSpd=6.2282 behind=0.1134
i=3 focus=1.0969 pacer=1.2103 fSpd=7.8417 pSpd=7.8423 behind=0.1135
i=4 focus=1.7272 pacer=1.8408 fSpd=9.4556 pSpd=9.4564 behind=0.1135
i=30 focus=31.2450 pacer=31.3619 fSpd=17.8359 pSpd=17.8401 behind=0.1168
i=60 focus=67.1411 pacer=67.4795 fSpd=17.9663 pSpd=18.2634 behind=0.3384
i=68 focus=76.7241 pacer=77.2538 fSpd=17.9802 pSpd=18.3762 behind=0.5297
i=110 focus=127.9052 pacer=129.5565 fSpd=18.5638 pSpd=18.9687 behind=1.6513
i=111 focus=129.1437 pacer=130.8220 fSpd=18.5777 pSpd=18.9828 behind=1.6783
i=112 focus=130.3832 pacer=132.0885 fSpd=18.5916 pSpd=18.9970 behind=1.7053
i=113 focus=131.6204 pacer=133.3559 fSpd=18.5583 pSpd=19.0111 behind=1.7355
i=114 focus=132.8554 pacer=134.6242 fSpd=18.5250 pSpd=19.0252 behind=1.7689
i=115 focus=134.0882 pacer=135.8935 fSpd=18.4916 pSpd=19.0393 behind=1.8054
